# test_for_audio_implicit_full — FULL-RES (256x512) results

Radial depth, scene_split (72/9/9), loaded from actual files at 256x512 (no 64x128 downsampling). cos-lat weighted metrics. seed = mean ± std.

**Progress: 340/351 trained runs evaluated (of 93 total jobs).**

| model (seed-grouped) | n | test MAE ↓ | MAE_plain | (64×128 plain) | MAE_low | δ<1.25 ↑ | shuffle MAE | mirror_better |
| Q2_noray_rel10 | 1 | 0.9053 | 0.7610 | — | 0.8680 | 0.449 | — | 0.253 |
| Bnode2_cross_flip | 3 | 0.9053 ± 0.0017 | 0.7613 ± 0.0019 | — | 0.8674 ± 0.0017 | 0.445 ± 0.003 | 1.1347 ± 0.0157 | 0.240 ± 0.001 |
| Q2_noray | 1 | 0.9058 | 0.7607 | — | 0.8670 | 0.452 | — | 0.251 |
| Q3_e0c_base | 1 | 0.9059 | 0.7618 | — | 0.8674 | 0.453 | — | 0.254 |
| R_raydpt_e2 | 3 | 0.9063 ± 0.0020 | 0.7640 ± 0.0010 | — | 0.8693 ± 0.0021 | 0.450 ± 0.002 | — | 0.252 ± 0.005 |
| Bnode2_wave_unet8 | 3 | 0.9068 ± 0.0037 | 0.7613 ± 0.0036 | — | 0.8696 ± 0.0043 | 0.453 ± 0.003 | 1.1605 ± 0.0097 | 0.268 ± 0.006 |
| Q9_ground_none | 2 | 0.9072 ± 0.0004 | 0.7645 ± 0.0002 | — | 0.8704 ± 0.0002 | 0.449 ± 0.001 | — | 0.263 ± 0.002 |
| Q_rdlite_rel10 | 1 | 0.9072 | 0.7647 | — | 0.8707 | 0.450 | — | 0.255 |
| Q6_emaonly | 2 | 0.9078 ± 0.0001 | 0.7645 ± 0.0007 | — | 0.8715 ± 0.0001 | 0.448 ± 0.000 | — | 0.251 ± 0.001 |
| A23_vit_sh | 3 | 0.9081 ± 0.0023 | 0.7618 ± 0.0013 | 0.7861 | 0.8701 ± 0.0024 | 0.439 ± 0.002 | 1.1169 ± 0.0089 | 0.272 ± 0.015 |
| C_raydpt_lsanobias | 1 | 0.9081 | 0.7635 | — | 0.8695 | 0.448 | — | 0.259 |
| A23_vit_both | 3 | 0.9082 ± 0.0058 | 0.7616 ± 0.0036 | 0.7863 | 0.8708 ± 0.0057 | 0.444 ± 0.006 | 1.1261 ± 0.0095 | 0.270 ± 0.015 |
| Q2_gcc_silog25 | 1 | 0.9085 | 0.7626 | — | 0.8702 | 0.433 | — | 0.283 |
| Q2_unet_rel10silog25 | 1 | 0.9088 | 0.7624 | — | 0.8712 | 0.439 | — | 0.264 |
| Bnode2_cross_flip_nr4096 | 2 | 0.9091 ± 0.0012 | 0.7670 ± 0.0017 | — | 0.8712 ± 0.0015 | 0.446 ± 0.001 | — | 0.235 ± 0.008 |
| Q3_e4_silog5 | 1 | 0.9094 | 0.7679 | — | 0.8705 | 0.434 | — | 0.267 |
